name,state,revenue,federal_revenue,state_revenue,local_revenue,expenses
FOOTHILLS ACADEMY,Arizona,2608,34,2574,0,2412
TWENTY FIRST CENTURY CHARTER SCHOOL  INC. BENNETT ACADEMY,Arizona,2004,31,1973,0,2118
STEP UP SCHOOLS  INC.,Arizona,626,62,564,0,918
MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT DBA GATEWAY EARLY,Arizona,2116,129,1986,1,1991
NEW SCHOOL FOR THE ARTS,Arizona,1487,17,1470,0,1314
SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS,Arizona,3716,1559,2078,79,6105
ESPIRITU COMMUNITY DEVELOPMENT CORP.,Arizona,6008,560,4890,558,5138
HERITAGE ACADEMY  INC.,Arizona,4868,0,4868,0,4050
VILLA MONTESSORI CHARTER SCHOOL,Arizona,3082,49,3033,0,6098
EDUPRENEURSHIP  INC.,Arizona,603,89,514,0,680
ARIZONA SCHOOL FOR THE ARTS,Arizona,5707,79,5628,0,5158
ARIZONA CALL-A-TEEN YOUTH RESOURCES  INC.,Arizona,855,61,793,1,851
INTELLI-SCHOOL  INC.,Arizona,970,40,930,0,603
BENJAMIN FRANKLIN CHARTER SCHOOL,Arizona,14854,0,14854,0,17140
VICTORY HIGH SCHOOL  INC.,Arizona,137,1,136,0,197
MONTESSORI DAY PUBLIC SCHOOLS CHARTERED  INC.,Arizona,1874,109,1765,0,1927
KHALSA MONTESSORI ELEMENTARY SCHOOLS,Arizona,967,21,946,0,904
TEMPE PREPARATORY ACADEMY,Arizona,1856,0,1856,0,2483
BRIGHT BEGINNINGS SCHOOL  INC.,Arizona,3033,0,2942,91,3230
MONTESSORI EDUCATION CENTRE CHARTER SCHOOL,Arizona,2957,47,2910,0,3088
KINGMAN ACADEMY OF LEARNING,Arizona,9314,407,8762,145,9383
YOUNG SCHOLARS ACADEMY CHARTER SCHOOL CORP.,Arizona,2602,166,2436,0,2335
CAREER DEVELOPMENT  INC.,Arizona,1238,310,928,0,1340
EDGE SCHOOL  INC.  THE,Arizona,2053,162,1891,0,1622
TUCSON YOUTH DEVELOPMENT/ACE CHARTER HIGH SCHOOL,Arizona,1568,55,1513,0,1523
PRESIDIO SCHOOL,Arizona,3055,391,2631,33,2928
COLORADO RIVER UNION HIGH SCHOOL DISTRICT,Arizona,18311,2157,3257,12897,15543
PORTABLE PRACTICAL EDUCATIONAL PREPARATION  INC. (PPEP  INC.,Arizona,6346,674,5670,2,6362
SEDONA CHARTER SCHOOL  INC.,Arizona,893,80,813,0,900
MINGUS SPRINGS CHARTER SCHOOL,Arizona,1231,59,1160,12,1112
FRANKLIN PHONETIC PRIMARY SCHOOL  INC.,Arizona,3262,217,3045,0,2743
SKYVIEW SCHOOL  INC.,Arizona,1372,103,1269,0,1350
AZ-TEC HIGH SCHOOL,Arizona,967,53,911,3,895
YUMA PRIVATE INDUSTRY COUNCIL  INC.,Arizona,824,29,794,1,939
MOUNTAIN SCHOOL  INC.,Arizona,1299,0,1299,0,1138
NORTHLAND PREPARATORY ACADEMY,Arizona,4488,54,4434,0,4456
FLAGSTAFF JUNIOR ACADEMY,Arizona,2030,115,1915,0,2087
LIBERTY HIGH SCHOOL,Arizona,490,0,490,0,572
BALL CHARTER SCHOOLS (HEARN),Arizona,4095,282,3642,171,4409
FRIENDLY HOUSE  INC.,Arizona,3009,500,2509,0,3227
OMBUDSMAN EDUCATIONAL SERVICES  LTD. A SUBSIDIARY OF EDUCATI,Arizona,2323,0,2323,0,2093
GLOBAL RENAISSANCE ACADEMY OF DISTINGUISHED EDUCATION,Arizona,901,0,901,0,1172
HILLCREST ACADEMY  INC.,Arizona,617,57,556,4,564
ARIZONA AGRIBUSINESS & EQUINE CENTER  INC.,Arizona,2626,95,2531,0,8882
INTERNATIONAL COMMERCE SECONDARY SCHOOLS  INC.,Arizona,2740,0,2740,0,2847
HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STATES  INC.,Arizona,1164,0,1164,0,1500
PHOENIX ADVANTAGE CHARTER SCHOOL  INC.,Arizona,3649,400,3245,4,3601
ALLEN-COCHRAN ENTERPRISES  INC.,Arizona,2437,0,2382,55,2239
AMERICAN LEADERSHIP ACADEMY  INC.,Arizona,19073,348,18725,0,19336
FOUNTAIN HILLS CHARTER SCHOOL,Arizona,860,5,855,0,753
HERMOSA MONTESSORI CHARTER SCHOOL,Arizona,1504,62,1361,81,1677
ACCELERATED LEARNING CENTER  INC.,Arizona,1327,0,1327,0,1040
ACCLAIM CHARTER SCHOOL,Arizona,2858,220,2617,21,2933
GENESIS PROGRAM  INC.,Arizona,1063,65,998,0,1057
LUZ ACADEMY OF TUCSON  INC,Arizona,1373,16,904,453,1278
MONTESSORI SCHOOLHOUSE OF TUCSON  INC.,Arizona,582,0,582,0,558
ACADEMY OF EXCELLENCE  INC.,Arizona,975,249,726,0,1026
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,Arizona,1443,80,1363,0,1237
AMERICAN HERITAGE ACADEMY,Arizona,3089,138,2951,0,2747
THE CHARTER FOUNDATION  INC.,Arizona,4954,379,4569,6,4900
EMPLOY-ABILITY UNLIMITED  INC.,Arizona,1919,115,1791,13,1616
BASIS SCHOOL  INC.,Arizona,4929,130,4799,0,11952
CHALLENGE SCHOOL  INC.,Arizona,3734,138,3497,99,4360
DISCOVERY PLUS ACADEMY,Arizona,805,73,720,12,749
FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.,Arizona,1523,577,940,6,2017
GEM CHARTER SCHOOL  INC.,Arizona,249,17,232,0,255
HA:SAN EDUCATIONAL SERVICES,Arizona,1332,237,1090,5,1821
KAIZEN EDUCATION FOUNDATION DBA EL DORADO HIGH SCHOOL,Arizona,2604,109,2493,2,3295
MEXICAYOTL ACADEMY  INC.,Arizona,1314,224,1087,3,1979
NEW HORIZON SCHOOL FOR THE PERFORMING ARTS,Arizona,1265,122,1142,1,1277
PHOENIX SCHOOL OF ACADEMIC EXCELLENCE THE,Arizona,1100,95,1005,0,1077
SHONTO GOVERNING BOARD OF EDUCATION  INC.,Arizona,1085,499,550,36,1726
EDKEY  INC. - SEQUOIA CHOICE SCHOOLS,Arizona,4790,159,4631,0,5728
TUCSON PREPARATORY SCHOOL,Arizona,1262,52,1210,0,1121
VISION CHARTER SCHOOL  INC.,Arizona,371,4,367,0,318
WESTWIND CHILDREN'S SERVICES,Arizona,1157,83,1074,0,1953
COCONINO COUNTY ACCOMMODATION SCHOOL DISTRICT,Arizona,3932,302,2885,745,3786
ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY  INC.,Arizona,862,59,797,6,921
KEYSTONE MONTESSORI CHARTER SCHOOL  INC.,Arizona,2583,17,1444,1122,7451
BENCHMARK SCHOOL  INC.,Arizona,2535,33,2502,0,2566
CAMBRIDGE ACADEMY  EAST   INC,Arizona,3624,49,3575,0,3250
BALL CHARTER SCHOOLS (DOBSON),Arizona,3782,162,3404,216,4104
PHOENIX EDUCATION MANAGEMENT  LLC,Arizona,4182,0,4181,1,6876
STEPPING STONES ACADEMY,Arizona,1472,48,1379,45,1282
EAST VALLEY ACADEMY,Arizona,194,0,194,0,416
LIBERTY TRADITIONAL CHARTER SCHOOL,Arizona,4053,699,3349,5,3507
FIT KIDS  INC. DBA CHAMPION SCHOOLS,Arizona,3701,293,3405,3,3910
SONORAN DESERT SCHOOL,Arizona,243,0,243,0,344
NORTHERN ARIZONA VOCATIONAL INSTITUTE OF TECHNOLOGY,Arizona,4426,20,2981,1425,4117
PIMA COUNTY BOARD OF SUPERVISORS,Arizona,962,23,939,0,1268
ACADEMY OF TUCSON  INC.,Arizona,4699,59,4640,0,11686
MOUNTAIN ROSE ACADEMY  INC.,Arizona,1948,0,1948,0,1488
GREAT EXPECTATIONS ACADEMY,Arizona,2128,63,2065,0,2026
DESERT SPRINGS ACADEMY,Arizona,789,0,789,0,819
VECHIJ HIMDAG ALTERNATIVE SCHOOL  INC.,Arizona,1057,521,536,0,1010
MOUNTAIN OAK CHARTER SCHOOL  INC.,Arizona,996,54,942,0,1136
